kind,legacy_id,canonical_id,status
car,GT Classics-Chevrolet Corvette C3.R,Chevrolet_Corvette_C3_RC-148-gtclassics-Vintage-4-GT Classics,canonical
car,GT Classics-Porsche 911 RSR,,legacy-fallback
car,Vintage Touring Cars T1-BMW 2002 Turbo,BMW_2002_Turbo-4-gtclassics-Vintage-5-Vintage Touring Cars T1,canonical
car,Vintage Touring Cars T1-Chevrolet Corvette C3,Chevrolet_Corvette_73-141-gtclassics-Vintage-5-Vintage Touring Cars T1,canonical
car,Vintage Touring Cars T2-Lotus 23,Lotus_23-119-gtclassics-Vintage-6-Vintage Touring Cars T2,canonical
car,Vintage Touring Cars T2-Mini Cooper S,,legacy-fallback
track,Adelaide V8-,,legacy-fallback
track,Adelaide GP-1988,,legacy-fallback
track,Azure Circuit-,Azure_Circuit-4,canonical
track,Bathurst-,,legacy-fallback
track,Brands Hatch-GP,BrandsHatch-7,canonical
track,Brands Hatch-Indy,BrandsHatch-8,canonical
track,Brasília-Full,,legacy-fallback
track,Brasília-Outer,,legacy-fallback
track,Cadwell Park-,CadwellPark-9,canonical
track,Campo Grande-,,legacy-fallback
track,Cascais-,Cascais-26,canonical
track,Cascais-Alternate,Cascais-26,canonical
track,Cascavel-,,legacy-fallback
track,Cleveland-,,legacy-fallback
track,Curitiba-,,legacy-fallback
track,Curitiba-Oval,,legacy-fallback
track,Curvelo-Long,CurveloLong-20,canonical
track,Curvelo-Short,CurveloShort-21,canonical
track,Daytona-24 Hour Course,,legacy-fallback
track,Daytona-Nascar Course,,legacy-fallback
track,Donington-GP,Donington_GP-24,canonical
track,Donington-National,,legacy-fallback
track,Goiânia-,,legacy-fallback
track,Goiânia-Oval,,legacy-fallback
track,Goiânia-Short,,legacy-fallback
track,Guaporé-,,legacy-fallback
track,Hockenheimring-1977,,legacy-fallback
track,Hockenheimring-National,,legacy-fallback
track,Hockenheimring-Short A,,legacy-fallback
track,Hockenheimring-Short B,,legacy-fallback
track,Hockenheimring-1988,,legacy-fallback
track,Hockenheimring-2001,,legacy-fallback
track,Hockenheimring-2020,,legacy-fallback
track,Ibarra-,,legacy-fallback
track,Ibarra-Reverse,Ibarra_Reverse-131,canonical
track,Imola GP-,,legacy-fallback
track,Imola-1972,,legacy-fallback
track,Imola-1988,,legacy-fallback
track,Imola-2001,,legacy-fallback
track,Interlagos GP-,Interlagos_GP-47,canonical
track,Interlagos-Stock Car,,legacy-fallback
track,Interlagos-1976,,legacy-fallback
track,Interlagos-1976 Outer,,legacy-fallback
track,Jacarepaguá-1988,,legacy-fallback
track,Jacarepaguá-2005,,legacy-fallback
track,Jacarepaguá-2005 Oval,,legacy-fallback
track,Jacarepaguá-2005 SCB,,legacy-fallback
track,Jacarepaguá-2005 Short,,legacy-fallback
track,Jerez-Moto,,legacy-fallback
track,Jerez-Chicane,,legacy-fallback
track,Kansai GP-,Kansai-56,canonical
track,Kansai-Classic,Kansai-54,canonical
track,Kansai-East,Kansai-55,canonical
track,Kansai-West,Kansai-57,canonical
track,Kyalami-,,legacy-fallback
track,Kyalami-1976,,legacy-fallback
track,Laguna Seca-,,legacy-fallback
track,Londrina-Long,Londrina_long-60,canonical
track,Londrina-Short,Londrina_short-61,canonical
track,Long Beach-,Long_Beach-65,canonical
track,Monza GP-,,legacy-fallback
track,Monza-Junior,,legacy-fallback
track,Monza-1991,Monza_1991-148,canonical
track,Monza-71 Junior,,legacy-fallback
track,Monza-1971,Monza_1971-143,canonical
track,Monza-1971 10k,Monza_1971_10k-146,canonical
track,Monza-1971 10k No Chicane,,legacy-fallback
track,Montreal 2019-,,legacy-fallback
track,Montreal-1988,,legacy-fallback
track,Nürburgring-Nordschleife 2020,Nordschleife_2020-69,canonical
track,Nürburgring-Nordschleife 24 Hour,,legacy-fallback
track,Nürburgring-24H,,legacy-fallback
track,Nürburgring-GP,Nurburgring_GP-70,canonical
track,Nürburgring-Short,,legacy-fallback
track,Oulton Park-Classic,OultonPark_Classic-79,canonical
track,Oulton Park-Fosters,OultonPark_Fosters-80,canonical
track,Oulton Park-International,OultonPark_International-78,canonical
track,Oulton Park-Island,OultonPark_Island-81,canonical
track,Road America-,,legacy-fallback
